Designator,Mid X,Mid Y,Rotation,Layer
C1,132.78,-57.45,180.0,top
C10,132.85,-59.6,0.0,bottom
C11,139.7,-72.65,0.0,top
C12,139.1,-77.8,0.0,top
C13,135.65,-71.9,180.0,top
C14,136.85,-78.6,270.0,top
C15,131.7,-55.2,90.0,top
C16,131.825,-83.425,270.0,top
C17,139.1,-75.3,270.0,top
C18,137.9,-74.75,270.0,top
C19,132.05,-70.65,0.0,bottom
C2,133.2,-55.15,90.0,top
C3,138.8,-59.65,180.0,bottom
C4,139.0,-61.95,270.0,bottom
C5,131.5,-62.05,90.0,bottom
C6,131.1,-64.7,270.0,bottom
C7,133.275,-83.275,270.0,top
C8,134.025,-85.525,180.0,top
C9,134.7,-70.25,180.0,bottom
D1,139.6625,-94.9,0.0,top
J1,138.5,-87.5,0.0,bottom
J2,149.5,-77.5,270.0,bottom
L1,135.3,-60.7,270.0,bottom
Q1,126.2875,-93.7375,90.0,top
Q2,130.6375,-93.65,270.0,top
R1,139.54,-65.15,0.0,bottom
R2,125.9,-90.2,270.0,top
R3,130.0375,-89.0,90.0,top
R4,135.6375,-94.9,180.0,top
U1,135.25,-65.165,270.0,top
U2,135.25,-75.0,270.0,top
U3,135.25,-56.2,270.0,top
U4,135.25,-83.3,270.0,top
