Ref,Val,Package,PosX,PosY,Rot,Side
"C3","10uF 10V","C_0805_2012Metric",138.750000,-58.950000,0.000000,bottom
"C4","100nF 16V","C_0402_1005Metric",139.750000,-61.870000,-90.000000,bottom
"C5","100nF 16V","C_0402_1005Metric",130.450000,-62.100000,90.000000,bottom
"C6","10uF 10V","C_0805_2012Metric",130.050000,-64.750000,-90.000000,bottom
"C9","100nF 16V","C_0402_1005Metric",134.700000,-70.800000,0.000000,bottom
"C10","10uF 10V","C_0805_2012Metric",132.850000,-58.700000,180.000000,bottom
"C19","10uF 10V","C_0805_2012Metric",132.050000,-71.200000,180.000000,bottom
"J1","DF40TC(4.0)-50DS-0.4V(51)","DF40TC(4.0)-50DS-0.4V(51)",138.500000,-87.500000,180.000000,bottom
"J2","DF40TC(4.0)-50DS-0.4V(51)","DF40TC(4.0)-50DS-0.4V(51)",149.500000,-77.500000,-90.000000,bottom
"L1","1k5","L_0603_1608Metric",135.300000,-60.700000,-90.000000,bottom
"R1","10k","R_0402_1005Metric",139.800000,-65.150000,180.000000,bottom
"C1","100nF 16V","C_0402_1005Metric",132.780000,-57.450000,180.000000,top
"C2","100nF 16V","C_0402_1005Metric",133.200000,-55.150000,90.000000,top
"C7","100nF 16V","C_0402_1005Metric",133.275000,-83.275000,-90.000000,top
"C8","100nF 16V","C_0402_1005Metric",134.025000,-85.525000,180.000000,top
"C11","22uF 10V","C_1206_3216Metric",139.700000,-72.650000,0.000000,top
"C12","10uF 10V","C_0805_2012Metric",139.100000,-77.800000,0.000000,top
"C13","100nF 16V","C_0402_1005Metric",135.650000,-71.900000,180.000000,top
"C14","100nF 16V","C_0402_1005Metric",136.850000,-78.600000,-90.000000,top
"C15","10uF 10V","C_0805_2012Metric",131.700000,-55.200000,90.000000,top
"C16","10uF 10V","C_0805_2012Metric",131.825000,-83.425000,-90.000000,top
"C17","4.7uF 10V","C_0603_1608Metric",139.100000,-75.300000,-90.000000,top
"C18","100nF 16V","C_0402_1005Metric",137.900000,-74.750000,-90.000000,top
"D1","5000K LED","JK3030AWT-P-U50EA",139.662500,-94.900000,0.000000,top
"Q1","BC817","SOT-23",126.287500,-93.737500,-90.000000,top
"Q2","BC868","SOT-89-3",130.637500,-93.650000,90.000000,top
"Q3","BC807","SOT-23",125.100000,-86.887500,0.000000,top
"R2","150 1% 0.1W","R_0603_1608Metric",125.900000,-90.200000,-90.000000,top
"R3","2R 1% 0.5W","R_1210_3225Metric",130.037500,-89.000000,90.000000,top
"R4","2R 1% 0.5W","R_1210_3225Metric",135.637500,-94.900000,180.000000,top
"R5","150 1% 0.1W","R_0603_1608Metric",123.600000,-89.450000,0.000000,top
"R6","1k","R_0603_1608Metric",123.400000,-83.800000,-90.000000,top
"R7","10k","R_0603_1608Metric",122.300000,-86.887500,-90.000000,top
"U1","AFBR-S50LX85D","AFBR-S50xxxxx",135.250000,-64.950000,-90.000000,top
"U2","PAA3905E1","PAA3905E1-Q",135.250000,-75.000000,-90.000000,top
"U3","ICM-45686","IC_ICM-45686",135.250000,-56.200000,-90.000000,top
"U4","ICM-42688-P","IC_ICM-42688-P",135.250000,-83.300000,-90.000000,top
