"Reference","Value","Qty","MF","MFPN","DigiKey","Footprint"
"C1,C4,C6,C8,C10,C12,C14,C16,C18","100nF 10V","9","Murata Electronics","NFM15PC104R1A3D","490-17918-1-ND","Capacitors:FIL_NFM15PC104R1A3D"
"C2,C3,C5,C7,C9,C11,C13,C15,C17,C20,C22,C23","100nF 16V","12","Murata Electronics","GRM155R71C104KA88J","490-6328-1-ND","Capacitor_SMD:C_0402_1005Metric"
"C19,C21","10nF 25V","2","Murata Electronics","GRM1555C1E103JE01D","490-GRM1555C1E103JE01DCT-ND","Capacitor_SMD:C_0402_1005Metric"
"D1,D2,D3,D5,D7,D8,D9,D13,D14,D17,D19","ESD7104MUTAG","11","onsemi","ESD7104MUTAG","ESD7104MUTAGOSCT-ND","TVS:ESD8104MUTAG"
"D4,D6,D10,D11,D12,D16,D18,D22,D23,D24,D25,D26","PESD5V0S1UL","12","Nexperia USA Inc.","PESD5V0S1UL,315","1727-4189-1-ND","TVS:PESD5V0S1ULD315"
"D15","BAT54HT1G","1","onsemi","BAT54HT1G","BAT54HT1GOSCT-ND","Diode_SMD:D_SOD-323"
"D20,D21","P6SMB62A","2","Littelfuse Inc.","P6SMB62A","P6SMB62ALFCT-ND","TVS:SOD1002-1"
"J1,J2","DF40TC(4.0)-50DS-0.4V(51)","2","Hirose","DF40TC(4.0)-50DS-0.4V(51)","26-DF40TC(4.0)-50DS-0.4V(51)CT-ND","Connectors:DF40TC(4.0)-50DS-0.4V(51)"
"J3","I2C1","1","JST Sales America Inc.","BM04B-GHS-TBT","455-BM04B-GHS-TBTCT-ND","Connector_JST:JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical"
"J4","I2C2","1","JST Sales America Inc.","BM04B-GHS-TBT","455-BM04B-GHS-TBTCT-ND","Connector_JST:JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical"
"J5","UART1","1","JST Sales America Inc.","BM06B-GHS-TBT","455-BM06B-GHS-TBTCT-ND","Connector_JST:JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical"
"J6","UART2","1","JST Sales America Inc.","BM06B-GHS-TBT","455-BM06B-GHS-TBTCT-ND","Connector_JST:JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical"
"J7","QDEC","1","JST Sales America Inc.","BM06B-GHS-TBT","455-BM06B-GHS-TBTCT-ND","Connector_JST:JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical"
"J8","GPS","1","JST Sales America Inc.","BM10B-GHS-TBT","455-BM10B-GHS-TBTCT-ND","Connector_JST:JST_GH_BM10B-GHS-TBT_1x10-1MP_P1.25mm_Vertical"
"J9","SPI1","1","JST Sales America Inc.","BM07B-GHS-TBT","455-BM07B-GHS-TBTCT-ND","Connector_JST:JST_GH_BM07B-GHS-TBT_1x07-1MP_P1.25mm_Vertical"
"J10","SPI2","1","JST Sales America Inc.","BM07B-GHS-TBT","455-BM07B-GHS-TBTCT-ND","Connector_JST:JST_GH_BM07B-GHS-TBT_1x07-1MP_P1.25mm_Vertical"
"J11","ESC1","1","JST Sales America Inc.","SM08B-SRSS-TB","455-1808-1-ND","Connector_JST:JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal"
"J12","ESC2","1","JST Sales America Inc.","SM08B-SRSS-TB","455-1808-1-ND","Connector_JST:JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal"
"J13","RTC_BAT","1","JST Sales America Inc.","SM02B-SRSS-TB","455-SM02B-SRSS-TBCT-ND","Connector_JST:JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal"
"Q1","NX138BKMYL","1","Nexperia USA Inc.","NX138BKMYL","1727-NX138BKMYLCT-ND","MOSFETs:DFN985X585X50-3N"
"R1,R2","10R","2","YAGEO","AC0402FR-0710RL","YAG3438CT-ND","Resistor_SMD:R_0402_1005Metric"
"R3,R5","33k","2","YAGEO","RC0402FR-0733KL","311-33.0KLRCT-ND","Resistor_SMD:R_0402_1005Metric"
"R4,R6","2k2","2","YAGEO","AC0402FR-072K2L","YAG3467CT-ND","Resistor_SMD:R_0402_1005Metric"
"R7","10k","1","YAGEO","RC0402FR-0710KL","311-10.0KLRCT-ND","Resistor_SMD:R_0402_1005Metric"
"R8","75R","1","YAGEO","RC0402FR-1375RL","13-RC0402FR-1375RLCT-ND","Resistor_SMD:R_0402_1005Metric"
"R9","0R","1","YAGEO","RC0402JR-070RL","311-0.0JRCT-ND","Resistor_SMD:R_0402_1005Metric"
"R10,R11,R12,R13","4k7","4","YAGEO","RC0603FR-074K7L","311-4.70KHRCT-ND","Resistor_SMD:R_0603_1608Metric"
"R16","1k5","1","YAGEO","RC0402FR-071K5L","311-1.50KLRCT-ND","Resistor_SMD:R_0402_1005Metric"
"SW1","CHS-01TA","1","Nidec Components Corporation","CHS-01TA","563-1003-1-ND","Switches:CHS-01TA"
