Ref,Val,Package,PosX,PosY,Rot,Side
"D20","P6SMB62A","SOD1002-1",122.600000,-69.000000,-90.000000,bottom
"D21","P6SMB62A","SOD1002-1",122.550000,-81.100000,-90.000000,bottom
"J1","DF40TC(4.0)-50DS-0.4V(51)","DF40TC(4.0)-50DS-0.4V(51)",138.500000,-87.500000,180.000000,bottom
"J2","DF40TC(4.0)-50DS-0.4V(51)","DF40TC(4.0)-50DS-0.4V(51)",149.500000,-77.500000,-90.000000,bottom
"R16","1k5","R_0402_1005Metric",146.062500,-70.800000,-90.000000,bottom
"C1","100nF 10V","FIL_NFM15PC104R1A3D",124.800000,-59.400000,90.000000,top
"C2","100nF 16V","C_0402_1005Metric",125.800000,-59.600000,90.000000,top
"C3","100nF 16V","C_0402_1005Metric",135.500000,-58.700000,90.000000,top
"C4","100nF 10V","FIL_NFM15PC104R1A3D",136.800000,-59.200000,0.000000,top
"C5","100nF 16V","C_0402_1005Metric",146.100000,-77.600000,90.000000,top
"C6","100nF 10V","FIL_NFM15PC104R1A3D",146.150000,-79.300000,-90.000000,top
"C7","100nF 16V","C_0402_1005Metric",134.000000,-91.400000,-90.000000,top
"C8","100nF 10V","FIL_NFM15PC104R1A3D",132.700000,-90.800000,180.000000,top
"C9","100nF 16V","C_0402_1005Metric",143.500000,-91.350000,-90.000000,top
"C10","100nF 10V","FIL_NFM15PC104R1A3D",142.250000,-90.850000,180.000000,top
"C11","100nF 16V","C_0402_1005Metric",139.500000,-76.900000,0.000000,top
"C12","100nF 10V","FIL_NFM15PC104R1A3D",138.612500,-75.900000,180.000000,top
"C13","100nF 16V","C_0402_1005Metric",139.500000,-66.500000,0.000000,top
"C14","100nF 10V","FIL_NFM15PC104R1A3D",138.600000,-65.400000,180.000000,top
"C15","100nF 16V","C_0402_1005Metric",145.800000,-62.700000,0.000000,top
"C16","100nF 10V","FIL_NFM15PC104R1A3D",146.000000,-61.650000,0.000000,top
"C17","100nF 16V","C_0402_1005Metric",143.200000,-71.100000,90.000000,top
"C18","100nF 10V","FIL_NFM15PC104R1A3D",144.500000,-71.600000,0.000000,top
"C19","10nF 25V","C_0402_1005Metric",127.300000,-69.950000,90.000000,top
"C20","100nF 16V","C_0402_1005Metric",125.050000,-67.250000,90.000000,top
"C21","10nF 25V","C_0402_1005Metric",127.200000,-81.900000,90.000000,top
"C22","100nF 16V","C_0402_1005Metric",125.050000,-79.350000,90.000000,top
"C23","100nF 16V","C_0402_1005Metric",129.750000,-65.550000,0.000000,top
"D1","ESD7104MUTAG","ESD8104MUTAG",130.500000,-90.562500,180.000000,top
"D2","ESD7104MUTAG","ESD8104MUTAG",140.100000,-90.600000,180.000000,top
"D3","ESD7104MUTAG","ESD8104MUTAG",137.100000,-77.200000,180.000000,top
"D4","PESD5V0S1UL","PESD5V0S1ULD315",132.750000,-66.600000,90.000000,top
"D5","ESD7104MUTAG","ESD8104MUTAG",137.100000,-66.700000,180.000000,top
"D6","PESD5V0S1UL","PESD5V0S1ULD315",134.400000,-66.900000,0.000000,top
"D7","ESD7104MUTAG","ESD8104MUTAG",129.237500,-59.700000,0.000000,top
"D8","ESD7104MUTAG","ESD8104MUTAG",141.300000,-59.600000,0.000000,top
"D9","ESD7104MUTAG","ESD8104MUTAG",146.000000,-83.400000,-90.000000,top
"D10","PESD5V0S1UL","PESD5V0S1ULD315",138.200000,-59.400000,-90.000000,top
"D11","PESD5V0S1UL","PESD5V0S1ULD315",146.000000,-80.500000,180.000000,top
"D12","PESD5V0S1UL","PESD5V0S1ULD315",124.500000,-58.100000,180.000000,top
"D13","ESD7104MUTAG","ESD8104MUTAG",146.062500,-71.100000,-90.000000,top
"D14","ESD7104MUTAG","ESD8104MUTAG",146.000000,-66.100000,-90.000000,top
"D15","BAT54HT1G","D_SOD-323",126.400000,-63.500000,0.000000,top
"D16","PESD5V0S1UL","PESD5V0S1ULD315",124.100000,-82.750000,-90.000000,top
"D17","ESD7104MUTAG","ESD8104MUTAG",124.600000,-74.600000,-90.000000,top
"D18","PESD5V0S1UL","PESD5V0S1ULD315",124.100000,-84.400000,90.000000,top
"D19","ESD7104MUTAG","ESD8104MUTAG",124.500000,-86.600000,-90.000000,top
"D22","PESD5V0S1UL","PESD5V0S1ULD315",124.150000,-70.850000,-90.000000,top
"D23","PESD5V0S1UL","PESD5V0S1ULD315",124.150000,-72.400000,90.000000,top
"D24","PESD5V0S1UL","PESD5V0S1ULD315",147.300000,-61.200000,90.000000,top
"D25","PESD5V0S1UL","PESD5V0S1ULD315",134.400000,-77.600000,0.000000,top
"D26","PESD5V0S1UL","PESD5V0S1ULD315",132.750000,-77.250000,90.000000,top
"J3","I2C1","JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical",130.275000,-94.700000,180.000000,top
"J4","I2C2","JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical",139.987500,-94.700000,180.000000,top
"J5","UART1","JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical",129.237500,-55.300000,0.000000,top
