Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C14, C16, C18, C4, C6, C8",FIL_NFM15PC104R1A3D,9,100nF 10V,
"C11, C13, C15, C17, C2, C20, C22, C23, C3, C5, C7, C9",0402,12,100nF 16V,
"C19, C21",0402,2,10nF 25V,
"D1, D13, D14, D17, D19, D2, D3, D5, D7, D8, D9",ESD8104MUTAG,11,ESD7104MUTAG,
"D10, D11, D12, D16, D18, D22, D23, D24, D25, D26, D4, D6",PESD5V0S1ULD315,12,PESD5V0S1UL,
D15,D_SOD-323,1,BAT54HT1G,
"D20, D21",SOD1002-1,2,P6SMB62A,
"J1, J2",DF40TC(4.0)-50DS-0.4V(51),2,DF40TC(4.0)-50DS-0.4V(51),
J10,JST_GH_BM07B-GHS-TBT_1x07-1MP_P1.25mm_Vertical,1,SPI2,
J11,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,ESC1,
J12,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,ESC2,
J13,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,RTC_BAT,
J3,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,I2C1,
J4,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,I2C2,
J5,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,UART1,
J6,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,UART2,
J7,JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical,1,QDEC,
J8,JST_GH_BM10B-GHS-TBT_1x10-1MP_P1.25mm_Vertical,1,GPS,
J9,JST_GH_BM07B-GHS-TBT_1x07-1MP_P1.25mm_Vertical,1,SPI1,
Q1,DFN985X585X50-3N,1,NX138BKMYL,
"R1, R2",0402,2,10R,
"R10, R11, R12, R13",0603,4,4k7,
R16,0402,1,1k5,
"R3, R5",0402,2,33k,
"R4, R6",0402,2,2k2,
R7,0402,1,10k,
R8,0402,1,75R,
R9,0402,1,0R,
SW1,CHS-01TA,1,CHS-01TA,
